"Country","Vessel","Cruise","Station","StType","Year","log","Month","Day","Hour","Min","Lat","Lon","BottDepth","WinDir","WinSpeed"
"FO","OW2252","1111","11110001","CTD",2011,,4,6,3,49,58.70,-7.49,128,225,8
"FO","OW2252","1111","11110001","WP2",2011,,4,6,3,49,58.70,-7.49,128,225,8
"FO","OW2252","1111","11110002","TRAWL",2011,,4,6,7,28,58.71,-8.21,585,225,8
"FO","OW2252","1111","11110003","TRAWL",2011,,4,6,10,16,58.71,-8.54,409,225,8
"FO","OW2252","1111","11110004","CTD",2011,,4,6,14,52,58.70,-9.20,1573,225,8
"FO","OW2252","1111","11110004","WP2",2011,,4,6,14,52,58.70,-9.20,1573,225,8
"FO","OW2252","1111","11110005","CTD",2011,,4,7,8,57,58.69,-10.98,1510,270,18
"FO","OW2252","1111","11110005","WP2",2011,,4,7,8,57,58.69,-10.98,1510,270,18
"FO","OW2252","1111","11110006","CTD",2011,,4,7,23,5,58.69,-12.49,1610,225,16
"FO","OW2252","1111","11110006","WP2",2011,,4,7,23,5,58.69,-12.49,1610,225,16
"FO","OW2252","1111","11110007","CTD",2011,,4,8,3,54,59.20,-12.49,1500,225,16
"FO","OW2252","1111","11110007","WP2",2011,,4,8,3,54,59.20,-12.49,1500,225,16
"FO","OW2252","1111","11110008","TRAWL",2011,,4,8,6,56,59.20,-12.05,1520,270,8
"FO","OW2252","1111","11110009","TRAWL",2011,,4,8,9,25,59.19,-11.80,1520,270,8
"FO","OW2252","1111","11110010","TRAWL",2011,,4,8,12,8,59.19,-11.33,1520,270,8
"FO","OW2252","1111","11110011","CTD",2011,,4,8,14,43,59.20,-11.00,1984,270,5
"FO","OW2252","1111","11110011","WP2",2011,,4,8,14,43,59.20,-11.00,1984,270,5
"FO","OW2252","1111","11110012","CTD",2011,,4,8,21,32,59.20,-8.99,1936,180,8
"FO","OW2252","1111","11110012","WP2",2011,,4,8,21,32,59.20,-8.99,1936,180,8
"FO","OW2252","1111","11110013","CTD",2011,,4,9,2,44,59.19,-7.49,900,180,8
"FO","OW2252","1111","11110013","WP2",2011,,4,9,2,44,59.19,-7.49,900,180,8
"FO","OW2252","1111","11110014","CTD",2011,,4,9,7,0,59.70,-6.74,823,180,8
"FO","OW2252","1111","11110014","WP2",2011,,4,9,7,0,59.70,-6.74,823,180,8
"FO","OW2252","1111","11110015","TRAWL",2011,,4,9,9,17,59.70,-6.77,882,180,8
"FO","OW2252","1111","11110016","CTD",2011,,4,9,15,44,59.69,-8.50,882,180,8
"FO","OW2252","1111","11110016","WP2",2011,,4,9,15,44,59.69,-8.50,882,180,8
"FO","OW2252","1111","11110017","CTD",2011,,4,9,23,47,59.70,-10.75,1336,180,8
"FO","OW2252","1111","11110017","WP2",2011,,4,9,23,47,59.70,-10.75,1336,180,8
"FO","OW2252","1111","11110018","CTD",2011,,4,10,6,17,59.69,-12.50,1344,180,8
"FO","OW2252","1111","11110018","WP2",2011,,4,10,6,17,59.69,-12.50,1344,180,8
"FO","OW2252","1111","11110019","TRAWL",2011,,4,10,8,10,59.76,-12.48,1280,180,8
"FO","OW2252","1111","11110020","CTD",2011,,4,10,11,34,60.20,-12.50,1280,180,8
"FO","OW2252","1111","11110020","WP2",2011,,4,10,11,34,60.20,-12.50,1280,270,10
"FO","OW2252","1111","11110021","CTD",2011,,4,10,19,22,60.20,-10.10,464,270,10
"FO","OW2252","1111","11110021","WP2",2011,,4,10,19,22,60.20,-10.10,464,270,10
"FO","OW2252","1111","11110022","CTD",2011,,4,11,3,2,60.20,-7.70,636,270,4
"FO","OW2252","1111","11110022","WP2",2011,,4,11,3,2,60.20,-7.70,636,270,4
"FO","OW2252","1111","11110023","TRAWL",2011,,4,11,6,46,60.20,-6.84,1196,225,8
"FO","OW2252","1111","11110024","TRAWL",2011,,4,11,9,15,60.20,-6.56,1209,225,11
"FO","OW2252","1111","11110025","CTD",2011,,4,11,13,59,60.20,-5.30,941,225,11
"FO","OW2252","1111","11110025","WP2",2011,,4,11,13,59,60.20,-5.30,941,225,11
