"SURVEY","COUNTRY","VESSEL","CRUISE","STATION","STTYPE","YEAR","SPECIES","LENGTH","WEIGHT","AGESCALE","AGEOTOLITH","SEX","MATURATION","STOMFULLNESS","STOMACHWT","RECNR"
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"SKP",29.3,,,,,,,,5006
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"SKP",15.5,,,,,,,,5007
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.6,,,,,,,,5010
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.7,,,,,,,,5011
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.5,,,,,,,,5012
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.8,,,,,,,,5013
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.2,,,,,,,,5014
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.4,,,,,,,,5015
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.9,,,,,,,,5016
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.2,,,,,,,,5017
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.5,,,,,,,,5018
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.6,,,,,,,,5019
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.2,,,,,,,,5020
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.5,,,,,,,,5021
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.6,,,,,,,,5022
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.6,,,,,,,,5023
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.5,,,,,,,,5024
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.2,,,,,,,,5025
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",4,,,,,,,,5026
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.3,,,,,,,,5027
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",3.3,,,,,,,,5028
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",2.5,,,,,,,,5029
"IBWSS       ","FO","OW2252","0520","05200001","TRAWL",2005,"PLS",4,8,,,0,,,,5030
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.6,,,,,,,,5008
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.8,,,,,,,,5009
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.5,,,,,,,,5010
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.7,,,,,,,,5011
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.5,,,,,,,,5012
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.3,,,,,,,,5013
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",5.8,,,,,,,,5014
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",5,,,,,,,,5015
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.4,,,,,,,,5016
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.2,,,,,,,,5017
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.7,,,,,,,,5018
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.8,,,,,,,,5019
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3,,,,,,,,5020
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.9,,,,,,,,5021
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",5.5,,,,,,,,5022
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.1,,,,,,,,5023
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.9,,,,,,,,5024
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.8,,,,,,,,5025
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.9,,,,,,,,5026
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.5,,,,,,,,5027
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",5.9,,,,,,,,5028
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",5.5,,,,,,,,5029
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.4,,,,,,,,5030
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.6,,,,,,,,5031
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.5,,,,,,,,5032
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.3,,,,,,,,5033
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",3.5,,,,,,,,5034
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.5,,,,,,,,5035
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.3,,,,,,,,5036
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.1,,,,,,,,5037
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.7,,,,,,,,5038
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",2.2,,,,,,,,5039
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",6.1,,,,,,,,5040
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.3,,,,,,,,5041
"IBWSS       ","FO","OW2252","0520","05200002","TRAWL",2005,"LPR",4.4,,,,,,,,5042
