"Country","Vessel","Cruise","Log","Year","Month","Day","Hour","Min","AcLat","AcLon","Logint","Frequency","Sv_threshold","Process_ID","Interval"
"FO","OW2252","1111",7091.99,2011,4,6,1,30,58.97,-7.37,0.30,38,-70,9044,7092
"FO","OW2252","1111",7092.99,2011,4,6,1,39,58.95,-7.38,1.00,38,-70,9044,7093
"FO","OW2252","1111",7093.99,2011,4,6,1,47,58.94,-7.39,1.00,38,-70,9044,7094
"FO","OW2252","1111",7094.99,2011,4,6,1,56,58.92,-7.39,1.00,38,-70,9044,7095
"FO","OW2252","1111",7095.99,2011,4,6,2,5,58.90,-7.40,1.00,38,-70,9044,7096
"FO","OW2252","1111",7096.99,2011,4,6,2,14,58.88,-7.41,1.00,38,-70,9044,7097
"FO","OW2252","1111",7097.99,2011,4,6,2,22,58.87,-7.42,1.00,38,-70,9044,7098
"FO","OW2252","1111",7098.99,2011,4,6,2,30,58.85,-7.42,1.00,38,-70,9044,7099
"FO","OW2252","1111",7099.99,2011,4,6,2,38,58.83,-7.43,1.00,38,-70,9044,7100
"FO","OW2252","1111",7100.99,2011,4,6,2,46,58.82,-7.43,1.00,38,-70,9044,7101
"FO","OW2252","1111",7101.99,2011,4,6,2,54,58.80,-7.44,1.00,38,-70,9044,7102
"FO","OW2252","1111",7102.99,2011,4,6,3,2,58.78,-7.44,1.00,38,-70,9044,7103
"FO","OW2252","1111",7103.99,2011,4,6,3,10,58.77,-7.45,1.00,38,-70,9044,7104
"FO","OW2252","1111",7104.99,2011,4,6,3,18,58.75,-7.46,1.00,38,-70,9044,7105
"FO","OW2252","1111",7105.99,2011,4,6,3,26,58.73,-7.47,1.00,38,-70,9044,7106
"FO","OW2252","1111",7106.99,2011,4,6,3,34,58.72,-7.48,1.00,38,-70,9044,7107
"FO","OW2252","1111",7107.99,2011,4,6,3,43,58.70,-7.49,1.00,38,-70,9044,7108
"FO","OW2252","1111",7108.99,2011,4,6,4,9,58.70,-7.48,1.00,38,-70,9044,7109
"FO","OW2252","1111",7109.99,2011,4,6,4,19,58.69,-7.52,1.00,38,-70,9044,7110
"FO","OW2252","1111",7110.99,2011,4,6,4,30,58.69,-7.57,1.00,38,-70,9044,7111
"FO","OW2252","1111",7111.99,2011,4,6,4,38,58.70,-7.61,1.00,38,-70,9044,7112
"FO","OW2252","1111",7112.99,2011,4,6,4,47,58.70,-7.65,1.00,38,-70,9044,7113
"FO","OW2252","1111",7113.99,2011,4,6,4,55,58.70,-7.68,1.00,38,-70,9044,7114
"FO","OW2252","1111",7114.99,2011,4,6,5,4,58.70,-7.72,1.00,38,-70,9044,7115
"FO","OW2252","1111",7115.99,2011,4,6,5,12,58.70,-7.76,1.00,38,-70,9044,7116
"FO","OW2252","1111",7116.99,2011,4,6,5,19,58.70,-7.80,1.00,38,-70,9044,7117
"FO","OW2252","1111",7117.99,2011,4,6,5,27,58.70,-7.83,1.00,38,-70,9044,7118
"FO","OW2252","1111",7118.99,2011,4,6,5,33,58.70,-7.86,1.00,38,-70,9044,7119
"FO","OW2252","1111",7119.99,2011,4,6,5,40,58.69,-7.90,1.00,38,-70,9044,7120
"FO","OW2252","1111",7120.99,2011,4,6,5,47,58.69,-7.93,1.00,38,-70,9044,7121
"FO","OW2252","1111",7121.99,2011,4,6,5,53,58.69,-7.96,1.00,38,-70,9044,7122
"FO","OW2252","1111",7122.99,2011,4,6,6,0,58.69,-7.99,1.00,38,-70,9044,7123
"FO","OW2252","1111",7123.99,2011,4,6,6,7,58.69,-8.03,1.00,38,-70,9044,7124
"FO","OW2252","1111",7124.99,2011,4,6,6,14,58.69,-8.06,1.00,38,-70,9044,7125
"FO","OW2252","1111",7125.99,2011,4,6,6,20,58.69,-8.09,1.00,38,-70,9044,7126
"FO","OW2252","1111",7126.99,2011,4,6,6,27,58.70,-8.12,1.00,38,-70,9044,7127
"FO","OW2252","1111",7127.99,2011,4,6,6,34,58.70,-8.15,1.00,38,-70,9044,7128
"FO","OW2252","1111",7128.99,2011,4,6,6,43,58.71,-8.18,1.00,38,-70,9044,7129
"FO","OW2252","1111",7129.99,2011,4,6,6,56,58.71,-8.20,1.00,38,-70,9044,7130
"FO","OW2252","1111",7130.99,2011,4,6,7,17,58.71,-8.23,1.00,38,-70,9044,7131
"FO","OW2252","1111",7131.99,2011,4,6,7,36,58.72,-8.26,1.00,38,-70,9044,7132
"FO","OW2252","1111",7132.99,2011,4,6,8,6,58.73,-8.28,1.00,38,-70,9044,7133
"FO","OW2252","1111",7133.99,2011,4,6,8,15,58.72,-8.32,1.00,38,-70,9044,7134
"FO","OW2252","1111",7134.99,2011,4,6,8,22,58.72,-8.35,1.00,38,-70,9044,7135
"FO","OW2252","1111",7135.99,2011,4,6,8,30,58.72,-8.38,1.00,38,-70,9044,7136
"FO","OW2252","1111",7136.99,2011,4,6,8,38,58.72,-8.41,1.00,38,-70,9044,7137
"FO","OW2252","1111",7137.99,2011,4,6,8,46,58.71,-8.44,1.00,38,-70,9044,7138
"FO","OW2252","1111",7138.99,2011,4,6,8,53,58.71,-8.48,1.00,38,-70,9044,7139
"FO","OW2252","1111",7139.99,2011,4,6,9,1,58.71,-8.51,1.00,38,-70,9044,7140
"FO","OW2252","1111",7140.99,2011,4,6,9,26,58.71,-8.51,1.00,38,-70,9044,7141
"FO","OW2252","1111",7141.99,2011,4,6,9,47,58.71,-8.54,1.00,38,-70,9044,7142
"FO","OW2252","1111",7142.99,2011,4,6,10,3,58.71,-8.57,1.00,38,-70,9044,7143
"FO","OW2252","1111",7143.99,2011,4,6,10,23,58.71,-8.61,1.00,38,-70,9044,7144
"FO","OW2252","1111",7144.99,2011,4,6,10,41,58.71,-8.64,1.00,38,-70,9044,7145
