"Country","Vessel","Cruise","Log","Year","Month","Day","Species","ChUppDepth","ChLowDepth","SA"
"FO","OW2252","1111",7092.99,2011,4,6,"PLK",0,50,2.75
"FO","OW2252","1111",7092.99,2011,4,6,"PLK",50,100,12.08
"FO","OW2252","1111",7093.99,2011,4,6,"PLK",0,50,3.88
"FO","OW2252","1111",7093.99,2011,4,6,"PLK",50,100,11.40
"FO","OW2252","1111",7094.99,2011,4,6,"PLK",0,50,4.62
"FO","OW2252","1111",7094.99,2011,4,6,"PLK",50,100,7.90
"FO","OW2252","1111",7095.99,2011,4,6,"PLK",0,50,10.49
"FO","OW2252","1111",7095.99,2011,4,6,"PLK",50,100,9.66
"FO","OW2252","1111",7096.99,2011,4,6,"PLK",0,50,88.40
"FO","OW2252","1111",7096.99,2011,4,6,"PLK",50,100,17.95
"FO","OW2252","1111",7097.99,2011,4,6,"PLK",0,50,194.25
"FO","OW2252","1111",7097.99,2011,4,6,"PLK",50,100,93.99
"FO","OW2252","1111",7098.99,2011,4,6,"PLK",0,50,896.95
"FO","OW2252","1111",7098.99,2011,4,6,"PLK",50,100,268.52
"FO","OW2252","1111",7099.99,2011,4,6,"PLK",0,50,1036.31
"FO","OW2252","1111",7099.99,2011,4,6,"PLK",50,100,244.78
"FO","OW2252","1111",7100.99,2011,4,6,"PLK",0,50,938.11
"FO","OW2252","1111",7100.99,2011,4,6,"PLK",50,100,141.02
"FO","OW2252","1111",7101.99,2011,4,6,"PLK",0,50,875.58
"FO","OW2252","1111",7101.99,2011,4,6,"PLK",50,100,141.75
"FO","OW2252","1111",7102.99,2011,4,6,"PLK",0,50,982.42
"FO","OW2252","1111",7102.99,2011,4,6,"PLK",50,100,125.69
"FO","OW2252","1111",7103.99,2011,4,6,"PLK",0,50,879.03
"FO","OW2252","1111",7103.99,2011,4,6,"PLK",50,100,104.22
"FO","OW2252","1111",7104.99,2011,4,6,"PLK",0,50,788.15
"FO","OW2252","1111",7104.99,2011,4,6,"PLK",50,100,99.44
"FO","OW2252","1111",7105.99,2011,4,6,"PLK",0,50,813.77
"FO","OW2252","1111",7105.99,2011,4,6,"PLK",50,100,145.79
"FO","OW2252","1111",7106.99,2011,4,6,"PLK",0,50,991.66
"FO","OW2252","1111",7106.99,2011,4,6,"PLK",50,100,158.48
"FO","OW2252","1111",7107.99,2011,4,6,"PLK",0,50,1221.56
"FO","OW2252","1111",7107.99,2011,4,6,"PLK",50,100,139.06
"FO","OW2252","1111",7108.99,2011,4,6,"PLK",0,50,1546.93
"FO","OW2252","1111",7108.99,2011,4,6,"PLK",50,100,141.33
"FO","OW2252","1111",7109.99,2011,4,6,"PLK",0,50,1315.38
"FO","OW2252","1111",7109.99,2011,4,6,"PLK",50,100,177.95
"FO","OW2252","1111",7110.99,2011,4,6,"PLK",0,50,1017.83
"FO","OW2252","1111",7110.99,2011,4,6,"PLK",50,100,236.43
"FO","OW2252","1111",7111.99,2011,4,6,"PLK",0,50,222.75
"FO","OW2252","1111",7111.99,2011,4,6,"PLK",50,100,96.24
"FO","OW2252","1111",7112.99,2011,4,6,"PLK",0,50,79.12
"FO","OW2252","1111",7112.99,2011,4,6,"PLK",50,100,46.99
"FO","OW2252","1111",7113.99,2011,4,6,"PLK",0,50,66.41
"FO","OW2252","1111",7113.99,2011,4,6,"PLK",50,100,65.75
