"Country","Vessel","Cruise","Station","StType","Year","Species","Length","Weight","AgeScale","AgeOtolith","Sex","Maturation","StomFullness","StomachWt","Recnr"
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",32.10,255.00,,,,,,,5030
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",31.40,248.00,,,,,,,5031
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",37.80,450.00,,,,,,,5032
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",33.40,314.00,,,,,,,5033
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",33.50,315.00,,,,,,,5034
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",31.50,253.00,,,,,,,5035
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",31.20,316.00,,,,,,,5036
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",34.00,346.00,,,,,,,5037
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",29.40,244.00,,,,,,,5038
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",25.90,141.00,,,,,,,5039
"FO","OW2252","1111","11110002","TRAWL",2011,"GUG",28.80,232.00,,,,,,,5040
"FO","OW2252","1111","11110003","TRAWL",2011,"DLF",99.30,1110.00,,,,,,,5032
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.20,164.00,,5,2,7,,,5034
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.80,169.00,,6,2,7,,,5035
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.20,182.00,,5,1,7,,,5036
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.40,159.00,,5,1,7,,,5037
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.90,168.00,,5,2,7,,,5038
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",28.60,121.00,,4,2,7,,,5039
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.40,146.00,,4,2,7,,,5040
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.40,138.00,,4,2,7,,,5041
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.80,163.00,,4,2,7,,,5042
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.60,179.00,,5,1,7,,,5043
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.40,163.00,,6,2,7,,,5044
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.10,178.00,,6,1,7,,,5045
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.40,135.00,,6,1,7,,,5046
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.40,124.00,,7,2,7,,,5047
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.10,169.00,,6,1,7,,,5048
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.00,172.00,,6,2,7,,,5049
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.50,153.00,,7,2,7,,,5050
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",34.10,193.00,,6,1,7,,,5051
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.50,124.00,,5,2,7,,,5052
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.80,226.00,,8,2,7,,,5053
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.90,149.00,,6,2,7,,,5054
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.50,175.00,,5,1,7,,,5055
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.00,176.00,,6,1,7,,,5056
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.60,182.00,,5,2,7,,,5057
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.40,143.00,,4,1,7,,,5058
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.80,180.00,,7,1,7,,,5059
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",26.70,119.00,,3,2,7,,,5060
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.30,150.00,,6,2,7,,,5061
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",35.30,203.00,,7,1,7,,,5062
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.60,188.00,,7,1,7,,,5063
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",27.60,119.00,,3,2,7,,,5064
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.20,156.00,,6,1,7,,,5065
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.90,156.00,,5,2,7,,,5066
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.60,181.00,,6,1,7,,,5067
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.90,136.00,,7,2,7,,,5068
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.20,139.00,,7,2,7,,,5069
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.30,152.00,,6,2,7,,,5070
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.50,159.00,,8,2,7,,,5071
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.30,158.00,,7,1,7,,,5072
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",28.00,111.00,,3,2,7,,,5073
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.70,161.00,,7,1,7,,,5074
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",26.40,92.00,,3,1,4,,,5075
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.50,177.00,,6,1,7,,,5076
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.70,135.00,,5,1,7,,,5077
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.00,168.00,,6,1,7,,,5078
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.20,191.00,,7,1,7,,,5079
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.20,158.00,,5,2,7,,,5080
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.10,141.00,,6,1,7,,,5081
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.40,150.00,,6,2,7,,,5082
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.00,167.00,,8,2,7,,,5083
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.10,154.00,,7,1,7,,,5084
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.40,118.00,,3,1,7,,,5085
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",27.80,125.00,,4,2,7,,,5086
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.80,129.00,,4,1,7,,,5087
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.10,192.00,,7,2,7,,,5088
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.00,141.00,,5,1,7,,,5089
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.10,156.00,,7,1,7,,,5090
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.50,137.00,,5,2,7,,,5091
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",26.90,100.00,,3,1,7,,,5092
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.30,128.00,,6,2,7,,,5093
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",33.10,170.00,,8,1,7,,,5094
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",27.00,93.00,,3,2,7,,,5095
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.30,162.00,,6,2,7,,,5096
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",28.50,125.00,,6,2,7,,,5097
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.40,169.00,,6,2,7,,,5098
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",28.30,133.00,,5,2,7,,,5099
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",29.20,133.00,,4,1,7,,,5100
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.30,163.00,,7,2,7,,,5101
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",32.80,190.00,,8,2,7,,,5102
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.60,146.00,,6,2,7,,,5103
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.20,154.00,,4,2,7,,,5104
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.10,133.00,,4,1,7,,,5105
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",31.20,177.00,,5,2,7,,,5106
"FO","OW2252","1111","11110003","TRAWL",2011,"WHB",30.50,149.00,,7,2,7,,,5107
