"SPECIESID","SPECIESNAME","NODC","SCIENTIFIC_NAME","TSN","NAME_NO","NAME_FO","NAME_IS"
"NRK","White Barracudina",876207020100,"Arctozenus risso",644687,"Liten Laksetobis","Lítli laksatobis",""
"HEM","",,"Argyropelecus Hemigymnus 
",162219,"","Ljósa Silvurøks",""
"CRO","",8762140317,"Lampanyctus Crocodilus  
",162649,"","Krokodillu prikkafiskur",""
"AJQ","Common jellyfish",,"Aurelia aurita",51701,"","",""
"HKE","European Hake",8791040105,"Merluccius merluccius",164795,"Lysing","Lýsingur",""
"ALI","Lancetfishes nei",,"Alepisaurus spp",,"","",""
"CAB","Northern wolffish",,"Anarhichas denticulatus",550561,"Blåsteinbit","Blágóma",""
"THC","Ask Iceland!",,"",,"","",""
"NRD","",,"Notolepis rissoi",644687,"","",""
"CTL","",,"",,"","",""
"PAN","",,"Pandalus spp",96966,"","",""
"PIR","",,"Paralepis coregonoides",162493,"","Lakstobis",""
"PLA","",,"Hippoglossoides platessoides",,"","",""
"SCM","",,"",,"","",""
"AXC","Bluntsnout smooth-head",876001120100,"Xenodermichthys copei",162340,"","Lítliglámur",""
"ASB","Bean's sawtooth eel",,"Serrivomer beani",,"","","Trjónuáll"
"PSO","Koefoed's searsid",,"Searsia koefoedi",,"","","Ægisangi"
"OLM","",,"Pollichthys mauli",,"","","Polli"
"ANM","Slender snipe eel",,"Nemichthys scolopaceus",161624,"","","Álsnípa"
"GHL","Greenland halibut",,"Reinhardtius hippoglossoides 
",,"","",""
"NRO","Straightnosed pipefish",,"Nerophis Ophidion",166595,"","",""
"PLK","Plankton",,"Planktonemertidae",57585,"Plankton","Plankton",""
"BKF","Blackfish",885101030100,"Centrolophus niger",172520,"Svartfisk","Svartfiskur",""
"CAP","Capelin",875503020100,"Mallotus villosus",162035,"Lodde","Lodna",""
"GAD","Gadiformes",,"",,"","",""
"COD","Cod",879103040200,"Gadus morhua",164712,"Torsk","Toskur",""
"CPZ","Snubnose Pipefish",,"Cosmocampus Arctus",166603,"","",""
"GGL","Greenland Argentine",875601010200,"Nansenia groenlandica",162060,"Sølvsmelt","Grønlandsgulllaksur",""
"GUG","Grey Gurnard",882602060100,"Eutrigla gurnardus",167044,"Knurr","Knurrhani",""
"HAD","Haddock",879103130100,"Melanogrammus aeglefinus",164744,"Hyse","Hýsa",""
"HER","Herring",874701020100,"Clupea harengus",161722,"Sild","Sild",""
"HOM","Horse mackerel",883528010300,"Trachurus trachurus",168588,"Hestemakrell","Hestamakrelur",""
"HTF","Hachetfish",875902010700,"Argyropelecus olfersi",622706,"Stor Perlemorsfisk","Silvurfiskur",""
"INT","Lantern fish",876214031600,"Lampanyctus intricarius",162648,"Bredhalet Lysprikfisk","Lampanyctus intricarius",""
"KRZ","Krill",617402000000,"Euphausiidae",95500,"Krill","Krill",""
"LPR","Glacier lantern fish",876214090100,"Benthosema glaciale",162680,"Nordlig lysprikkfisk","Lítli Prikkafiskur",""
"LUM","Lumpsucker",883109150100,"Cyclopterus lumpus",167612,"Rognkjeks","Rognkelsi",""
"MAC","Mackerel",885003030200,"Scomber scombrus",172414,"Makrell","Makrelur",""
"MPR","Kroyer's lantern fish",876214040500,"Notoscopelus elongatus kroeyeri",623879,"Stor lysprikkfisk","Mjái Prikkafiskur",""
"MYX","Lanternfishes",876214000000,"Myctophidae",162575,"Mesopelagisk fisk","Mesopelagiskur fiskur",""
"PLC","Lancetfish",876207040200,"Paralepis coregonoides borealis",162493,"Stor Laksetobis","Stóra Lakstobis",""
"PLS","Pearl side",875901050100,"Maurolicus muelleri",162187,"Laksesild","Lakssild",""
"POA","Ray's Bream",883571010200,"Brama brama",170290,"Havbrasme","Bramafiskur",""
"POK","Saithe",879103090100,"Pollachius virens",164727,"Sei","Seiður",""
"REB","Deepwater Redfish",882601015100,"Sebastes mentella",166756,"Snabeluer","Trantkongafiskur",""
"RED","Redfish",882601010000,"Sebastes",166705,"Uer","Kongafiskur",""
"SAL","Salmon",875501030500,"Salmo salar",161996,"Laks","Laksur",""
"SKP","Snake Pipefish",882002210100,"Entelurus aequoreus",166591,"Stor Havnål","Sjóprónur",""
"SPF","Myctophum punctatum",876214150400,"Myctophum punctatum",162723,"Liten Lysprikkfisk","Stóri Prikkafiskur",""
